% len P	len log2(P/expect)
0.001003	-0.9956783940499065
0.000982	-1.026205070347394
0.000917	-1.1250063610670327
0.000939	-1.0908029370083125
0.000896	-1.1584293626044828
0.000809	-1.3057883922321094
0.000788	-1.343732465205711
0.000723	-1.4679324477109692
0.000766	-1.3845837027371302
0.000745	-1.4246876693125632
0.000745	-1.4246876693125632
0.000798	-1.3255393484397413
0.000809	-1.3057883922321094
0.000863	-1.212567535483132
0.000885	-1.1762506396917272
0.000928	-1.1078032895345151
0.000960	-1.0588936890535685
0.000971	-1.0424567992428948
0.000971	-1.0424567992428948
0.000896	-1.1584293626044828
0.000928	-1.1078032895345151
0.000928	-1.1078032895345151
0.000874	-1.1942948151614887
0.000842	-1.248107861595691
0.000820	-1.286304185156641
0.000755	-1.4054514504496458
0.000798	-1.3255393484397413
0.000809	-1.3057883922321094
0.000831	-1.2670796178917425
0.000820	-1.286304185156641
0.000820	-1.286304185156641
0.000788	-1.343732465205711
0.000798	-1.3255393484397413
0.000755	-1.4054514504496458
0.000788	-1.343732465205711
0.000831	-1.2670796178917425
0.000852	-1.231074664436249
0.000831	-1.2670796178917425
0.000809	-1.3057883922321094
0.000809	-1.3057883922321094
0.000788	-1.343732465205711
0.000842	-1.248107861595691
0.000820	-1.286304185156641
0.000809	-1.3057883922321094
0.000896	-1.1584293626044828
0.000885	-1.1762506396917272
0.000852	-1.231074664436249
0.000863	-1.212567535483132
0.000820	-1.286304185156641
0.000863	-1.212567535483132
0.000852	-1.231074664436249
0.000939	-1.0908029370083125
0.000906	-1.142417044615852
0.000939	-1.0908029370083125
0.000917	-1.1250063610670327
0.000906	-1.142417044615852
0.000928	-1.1078032895345151
0.000928	-1.1078032895345151
0.000928	-1.1078032895345151
0.000939	-1.0908029370083125
0.000928	-1.1078032895345151
0.000874	-1.1942948151614887
0.000852	-1.231074664436249
0.000809	-1.3057883922321094
0.000820	-1.286304185156641
0.000831	-1.2670796178917425
0.000788	-1.343732465205711
0.000745	-1.4246876693125632
0.000788	-1.343732465205711
0.000766	-1.3845837027371302
0.000788	-1.343732465205711
0.000777	-1.3640134962543768
0.000820	-1.286304185156641
0.000777	-1.3640134962543768
0.000842	-1.248107861595691
0.000820	-1.286304185156641
0.000842	-1.248107861595691
0.000863	-1.212567535483132
0.000896	-1.1584293626044828
0.000820	-1.286304185156641
0.000842	-1.248107861595691
0.000863	-1.212567535483132
0.000863	-1.212567535483132
0.000831	-1.2670796178917425
0.000863	-1.212567535483132
0.000798	-1.3255393484397413
0.000766	-1.3845837027371302
0.000798	-1.3255393484397413
0.000777	-1.3640134962543768
0.000691	-1.5332423842738285
0.000680	-1.5563933485243853
0.000755	-1.4054514504496458
0.000701	-1.512513650651464
0.000691	-1.5332423842738285
0.000734	-1.4461480318188742
0.000691	-1.5332423842738285
0.000766	-1.3845837027371302
0.000831	-1.2670796178917425
0.000745	-1.4246876693125632
0.000723	-1.4679324477109692
0.000788	-1.343732465205711
0.000831	-1.2670796178917425
0.000766	-1.3845837027371302
0.000798	-1.3255393484397413
