% len P	len log2(P/expect)
0.004806	1.2648366484677793
0.004773	1.254896336390117
0.004643	1.2150572809045748
0.004513	1.1740867785504003
0.004521	1.1766419176568932
0.004635	1.212569338850806
0.004448	1.1531567880614202
0.004570	1.192194165283345
0.004595	1.2000648615143097
0.004440	1.1505596765753814
0.004432	1.1479578813871014
0.004473	1.1612427583425118
0.004399	1.137175601248037
0.004464	1.1583370271671007
0.004440	1.1505596765753814
0.004342	1.1183597259530575
0.004253	1.0884808549636766
0.004196	1.0690146779151806
0.004123	1.0436944612259778
0.003993	0.9974730719709609
0.004033	1.0118534057437891
0.004009	1.0032424174886838
0.003993	0.9974730719709609
0.003789	0.9218171398466213
0.003692	0.8844025529836871
0.003765	0.9126498648972036
0.003619	0.8555911077104515
0.003602	0.848798181244189
0.003692	0.8844025529836871
0.003537	0.8225262190388317
0.003611	0.8523984202865528
0.003602	0.848798181244189
0.003602	0.848798181244189
0.003440	0.7824085649273732
0.003611	0.8523984202865528
0.003497	0.8061177960356292
0.003375	0.7548875021634686
0.003464	0.7924389300646378
0.003350	0.7441610955704101
0.003269	0.708849377105179
0.003334	0.7372541043243298
0.003220	0.6870606883398924
0.003115	0.6392321632492772
0.003106	0.6350578297252141
0.003090	0.6276068381296498
0.002944	0.5577776713949258
0.003212	0.6834718928552274
0.003139	0.6503050289200281
0.003041	0.6045458163687107
0.003163	0.6612935558553065
0.003147	0.6539771786363366
0.003147	0.6539771786363366
0.003188	0.6726516293283846
0.003131	0.646623508476583
0.003155	0.6576400052078242
0.003196	0.6762674082658898
0.003269	0.708849377105179
0.003025	0.5969351423872321
0.003147	0.6539771786363366
0.003171	0.6649378774417523
0.003025	0.5969351423872321
0.003115	0.6392321632492772
0.003017	0.5931146964846151
0.003001	0.5854433189362014
0.003098	0.6313371441274813
0.002984	0.5772475355931507
0.002911	0.5415148394606787
0.002960	0.5655971758542251
0.002911	0.5415148394606787
0.002838	0.5048745893984642
0.002911	0.5415148394606787
0.002887	0.5295711075738947
0.002692	0.42867840994822987
0.002822	0.4967179879351769
0.002757	0.46309926734810347
0.002586	0.3707222751481674
0.002651	0.406536670205172
0.002602	0.3796209620557085
0.002383	0.2527789515281839
0.002391	0.2576141300495409
0.002293	0.19723635491870628
0.002196	0.1348780543431117
0.002415	0.2720231890610485
0.002464	0.3010022560328143
0.002309	0.207268173112028
0.002277	0.18713429147453525
0.002326	0.21785109681113138
0.002212	0.1453513855726198
0.002269	0.18205660901025042
0.002236	0.16092018818110318
0.002204	0.1401242239090704
0.002293	0.19723635491870628
0.002269	0.18205660901025042
0.002017	0.012211083950874365
0.002017	0.012211083950874365
0.002066	0.046840254202972664
0.002066	0.046840254202972664
0.002098	0.06901467791518046
0.001984	-0.011587974275211846
0.001935	-0.04766643363031436
0.001935	-0.04766643363031436
0.001813	-0.14162107491792908
0.001716	-0.22095044716254147
0.001708	-0.2276920250415967
0.001773	-0.17380746376339848
0.001732	-0.20756106993536216
0.001756	-0.18770715512672886
0.001740	-0.2009126939259964
0.001651	-0.2766598797488292
0.001773	-0.17380746376339848
0.001756	-0.18770715512672886
0.001797	-0.15440959115214525
0.001878	-0.09080293700831261
0.001895	-0.07780215160363298
0.001805	-0.14800116288755374
0.001773	-0.17380746376339848
0.001732	-0.20756106993536216
0.001578	-0.34190279464862866
0.001586	-0.33460722895810874
0.001569	-0.3501546476939895
0.001561	-0.35752946268417807
