gene_id,sim_num,intron,icount
17838,8500,b366e408,4
17838,8500,b292e408,5
17838,9000,b605e650,4433
17838,9000,b275e408,4559
17838,9000,b292e408,6
17838,9000,b366e408,2
17838,9500,b275e408,4922
17838,9500,b605e650,4569
17838,9500,b366e408,2
17838,9500,b292e408,7
17838,10000,b605e650,4814
17838,10000,b275e408,5178
17838,10000,b366e408,5
17838,10000,b292e408,3
8037,500,b250e297,244
8037,500,b408e493,256
8037,1000,b408e493,489
8037,1000,b250e297,510
8037,1000,b441e493,1
8037,1500,b408e493,739
8037,1500,b250e297,760
8037,1500,b441e493,1
8037,2000,b250e297,1012
8037,2000,b408e493,981
8037,2000,b441e493,4
8037,2000,b408e487,3
8037,2500,b408e493,1264
8037,2500,b250e297,1234
8037,2500,b408e487,2
8037,3000,b408e493,1564
8037,3000,b250e297,1431
8037,3000,b250e493,1
8037,3000,b408e487,2
8037,3000,b441e493,2
8037,3500,b408e493,1797
8037,3500,b250e297,1694
8037,3500,b441e493,4
8037,3500,b408e487,3
8037,3500,b408e503,1
8037,3500,b250e493,1
8037,4000,b408e493,2077
8037,4000,b250e297,1917
8037,4000,b408e487,3
8037,4000,b441e493,3
8037,4500,b250e297,2283
8037,4500,b408e493,2205
8037,4500,b441e493,5
8037,4500,b408e487,5
8037,4500,b250e493,1
8037,4500,b408e503,1
8037,5000,b250e297,2518
8037,5000,b408e493,2473
8037,5000,b441e493,3
8037,5000,b408e487,5
8037,5000,b250e493,1
8037,5500,b408e493,2773
8037,5500,b250e297,2719
8037,5500,b441e493,5
8037,5500,b408e487,3
8037,6000,b408e493,3064
8037,6000,b250e297,2923
8037,6000,b408e487,9
8037,6000,b441e493,3
8037,6000,b223e261,1
8037,6500,b408e493,3296
8037,6500,b250e297,3189
8037,6500,b408e487,9
8037,6500,b441e493,5
8037,6500,b250e493,1
8037,7000,b408e493,3582
8037,7000,b250e297,3406
8037,7000,b408e487,6
8037,7000,b441e493,5
8037,7000,b205e261,1
8037,7500,b408e493,3823
8037,7500,b250e297,3663
8037,7500,b408e503,1
8037,7500,b408e487,8
8037,7500,b441e493,5
8037,8000,b408e493,4094
8037,8000,b250e297,3888
8037,8000,b223e261,1
8037,8000,b408e487,8
8037,8000,b441e493,7
8037,8000,b250e493,1
8037,8000,b223e297,1
8037,8500,b408e493,4321
8037,8500,b250e297,4165
8037,8500,b408e487,10
8037,8500,b441e493,4
8037,9000,b250e297,4457
8037,9000,b408e493,4525
8037,9000,b441e493,7
8037,9000,b408e487,11
8037,9500,b408e493,4815
8037,9500,b250e297,4670
8037,9500,b408e487,9
8037,9500,b441e493,6
8037,10000,b250e297,5034
8037,10000,b408e493,4947
8037,10000,b441e493,10
8037,10000,b408e503,1
8037,10000,b408e487,7
8037,10000,b205e261,1
1627,500,b328e374,500
1627,1000,b328e374,1000
1627,1500,b328e374,1500
1627,2000,b328e374,1999
1627,2000,b421e483,1
1627,2500,b328e374,2499
1627,2500,b453e494,1
1627,3000,b328e374,2999
1627,3000,b396e506,1
1627,3500,b328e374,3500
1627,4000,b328e374,4000
1627,4500,b328e374,4499
1627,4500,b453e494,1
1627,5000,b328e374,4999
1627,5000,b135e219,1
1627,5500,b328e374,5499
1627,5500,b328e379,1
1627,6000,b328e374,5999
1627,6000,b328e379,1
1627,6500,b328e374,6499
1627,6500,b135e219,1
1627,7000,b328e374,6999
1627,7000,b335e379,1
1627,7500,b328e374,7500
1627,8000,b328e374,7999
1627,8000,b320e374,1
1627,8500,b328e374,8500
1627,9000,b328e374,8999
1627,9000,b328e432,1
1627,9500,b328e374,9497
1627,9500,b320e374,2
1627,9500,b191e225,1
1627,10000,b328e374,10000
6278,500,b337e398,500
6278,1000,b337e398,999
6278,1000,b272e398,1
