# id	length	introns	RNAseq	isoforms
ch.16796	708	2	2372950	18075	
ch.2557	712	1	307510	18104	
ch.8055	833	2	616191	18277	
ch.1458	716	1	376427	18401	
ch.4364	768	1	244146	18560	
ch.8266	744	1	197285	18898	
ch.5061	754	1	273817	19187	
ch.1226	776	2	128731	20025	
ch.17155	688	1	218483	20175	
ch.7395	756	2	3698550	20207	
ch.2482	818	1	203756	20336	
ch.6338	693	2	342021	20389	
ch.1815	777	2	1260880	20917	
ch.6271	708	1	233258	21365	
ch.9281	813	1	161561	21645	
ch.15762	721	1	293210	21788	
ch.15431	806	2	508210	22090	
ch.4163	735	2	1080880	23470	
ch.920	834	1	954598	23573	
ch.12165	747	2	357603	23623	
ch.6962	734	1	936446	23967	
ch.12375	888	3	163388	24638	
ch.12942	703	1	2038000	24994	
ch.12238	683	2	147818	25026	
ch.14319	705	1	842211	25401	
ch.9221	745	2	566128	25834	
ch.8914	713	1	41556300	26471	
ch.591	838	1	140611	26912	
ch.16618	813	1	154712	27180	
ch.6337	693	2	339574	27339	
ch.4495	770	2	396177	27387	
ch.7402	691	1	722031	28098	
ch.10104	775	2	126667	28242	
ch.7124	685	1	316575	28734	
ch.17458	690	1	133181	28814	
ch.13801	838	1	3814740	28851	
ch.9571	925	2	1803020	28958	
ch.10634	821	2	524406	29394	
ch.3772	723	1	351213	29606	
ch.14082	683	2	154889	29789	
ch.197	776	2	455172	29877	
ch.7978	733	2	495742	29926	
ch.7079	783	1	658908	30117	
ch.6772	841	1	765929	30213	
ch.9976	719	1	679009	30478	
ch.12336	665	1	899297	30571	
ch.5521	721	1	630349	31126	
ch.6532	767	1	858095	31270	
ch.7654	1026	2	382364	31275	
ch.5928	707	2	148459	31818	
ch.2675	844	2	4125490	31836	
ch.12312	800	2	162135	33051	
ch.5594	823	1	17627100	33391	
ch.7741	760	1	1629280	33579	
ch.7248	673	3	102617	34315	
ch.14054	780	2	483497	34326	
ch.7280	813	3	501101	34739	
ch.16227	716	2	207768	34860	
ch.13852	746	2	1949400	35309	
ch.945	846	1	348055	35397	
