seq	don	acc	emm	imm	elen	ilen	cost	fit
ch.5013	2.9781944186801015	1.8705423083787327	1.289337148712816	0.9965841863354655	-0.30915379680985466	1.998996796638576	55	0.00043063644561119164
ch.5109	2.3702077004091846	0.984192443241491	1.5111717758559036	1.525146847015531	-0.08972691602561966	1.7897865909140784	34	1.9914630586669415e-05
ch.6453	1.0195899183306394	0.8833698497093209	4.320870725584831	4.261709877552631	0.7381491844212058	3.411501455176744	61	0.00012771063489958154
ch.5482	0.332520735568829	0.7384349330105515	1.4182209642689265	0.9718255814227421	0.03458705972155629	1.037622959168913	9	0.007013001383511154
ch.7308	2.0310913909507304	2.010190708154908	1.4942526506835634	-0.5916185999193451	1.9761423038379642	1.61634687342266	20	0.04774266350858297
ch.5920	4.459351943282046	1.8088827973903325	0.05432105933889708	0.637522119729974	1.0932728727832028	1.8212580117101225	62	0.03570050426761621
ch.13855	3.039696180593145	0.09077759431909294	1.9666786664151603	1.281224385066905	2.4795755101172694	2.3460811119612313	99	0.005191465375766782
ch.10007	-1.165491618895535	1.3899067144884985	3.3436065646395585	-1.3053918477130964	0.9210089080416447	4.14528552254534	84	0.27127330928199245
ch.6013	2.664686541004323	0.9743944448074493	0.7962626598716084	2.2897106121071418	-0.38878380685996794	1.481139633531808	94	4.079002677622043e-05
ch.15609	1.2300395804830888	1.9794537202181863	0.07616372467051125	3.040352006762983	2.115246263497333	0.12276159726328717	76	3.7023708688082876e-05
ch.16414	1.8902186996075558	0.9365821598036995	2.3712075788192806	2.812446859878675	0.8673702566444731	2.8756378971528305	63	5.911582515632783e-05
ch.5469	5.618073978426972	1.2590673097061829	0.9800302278300664	3.9997232155467266	0.5738893087730343	0.3963500636616466	74	3.46925893780123e-12
ch.5912	2.887815714016052	2.5899359580424424	-0.08637339827467294	0.8929833649379177	-0.15010149702760434	1.7917752436769017	47	0.00010439974964679204
ch.13261	2.597000696994405	1.2519010326282345	-0.3898245372977608	0.250926282012498	0.9984724267616215	2.7847345883205543	91	4.6358319285034e-06
ch.5808	1.5218954570990038	1.3344483013255837	1.7835450260421644	2.9071448346934363	-0.7523511314934822	5.075157217449585	78	0.008825342570042095
ch.4944	1.5271285441955547	1.635800871461206	-1.1149374191871266	1.1616553854683378	1.150850060587389	1.699675725218122	18	1.1854262993295165e-05
ch.13329	2.115235779238799	0.36042744991699704	0.8112350203296743	0.03839727112862801	0.6622575864842498	1.5187281734567297	60	0.00517464008840129
ch.307	0.8776162916512867	0.7082170743191879	0.43036072468438746	0.8743446577918309	2.21711749465712	1.4241961829684953	63	0.0006785249836966047
ch.6560	1.279776312793278	2.6379531218216514	0.5643960743891083	1.0540954344615252	0.5137921835920679	2.703971308667036	36	0.05070799911984355
ch.12881	3.726020037125999	2.5228505450776075	0.8874828573176844	0.3030617704069286	1.0575885362741837	-0.7521363072103625	78	0.0002147448252666927
ch.925	1.8345392298894048	0.8876322317085835	3.13063219075003	-0.42414037846367536	0.9060112836068004	1.8603067926111694	8	0.0711936681670612
ch.12838	2.0066656590581804	1.1404124706091563	0.9566674559777236	0.7815590755490077	1.3501280210725617	1.1514210690120956	64	2.538564747546093e-05
ch.12839	1.4481916888256592	1.1416127840618766	1.064970266779281	0.5826496877791562	1.1960480250510965	0.22894037344716478	80	1.8637110199737818e-05
ch.15949	1.457469201526738	1.165112225952535	1.0463790735939007	1.0645381329447219	0.602060283474397	0.7704561094928323	68	0.0032031460813378774
ch.1029	1.2834002505804567	1.6264416207410322	0.037519820555112604	1.5594423518031297	0.18419371161594056	1.6008305946733374	57	0.00016826571025080044
ch.13336	1.7196976843799034	0.19980057942562723	2.0183770715755722	1.1127348857837704	1.2831632594985694	2.245753878570248	58	0.000279167447827198
ch.5873	3.183004173112609	1.1866601449869356	0.8486752899695417	1.7179851549082152	0.20666842382652295	1.6505123101853887	72	0.005330015383911205
